,id,budget,revenue,original_title,director,production_companies,release_date,release_year,budget_adj,revenue_adj
25,87101,155000000,440603537,Terminator Genisys,Alan Taylor,Skydance Productions,6/23/15,2015,142599937.256027,405355075.683766
26,286217,108000000,595380321,The Martian,Ridley Scott,Twentieth Century Fox Film Corporation,9/30/15,2015,99359956.2816192,547749654.310152
27,286217,108000000,595380321,The Martian,Ridley Scott,Scott Free Productions,9/30/15,2015,99359956.2816192,547749654.310152
28,286217,108000000,595380321,The Martian,Ridley Scott,Mid Atlantic Films,9/30/15,2015,99359956.2816192,547749654.310152
29,286217,108000000,595380321,The Martian,Ridley Scott,International Traders,9/30/15,2015,99359956.2816192,547749654.310152
30,286217,108000000,595380321,The Martian,Ridley Scott,TSG Entertainment,9/30/15,2015,99359956.2816192,547749654.310152
31,211672,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,Universal Pictures,6/17/15,2015,68079970.0448131,1064192016.79551
32,211672,74000000,1156730962,Minions,Kyle Balda|Pierre Coffin,Illumination Entertainment,6/17/15,2015,68079970.0448131,1064192016.79551
33,150540,175000000,853708609,Inside Out,Pete Docter,Walt Disney Pictures,6/9/15,2015,160999929.160031,785411574.698907
34,150540,175000000,853708609,Inside Out,Pete Docter,Pixar Animation Studios,6/9/15,2015,160999929.160031,785411574.698907
35,150540,175000000,853708609,Inside Out,Pete Docter,Walt Disney Studios Motion Pictures,6/9/15,2015,160999929.160031,785411574.698907
36,206647,245000000,880674609,Spectre,Sam Mendes,Columbia Pictures,10/26/15,2015,225399900.824043,810220283.783075
37,206647,245000000,880674609,Spectre,Sam Mendes,Danjaq,10/26/15,2015,225399900.824043,810220283.783075
38,206647,245000000,880674609,Spectre,Sam Mendes,B24,10/26/15,2015,225399900.824043,810220283.783075
39,76757,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,Village Roadshow Pictures,2/4/15,2015,161919931.51523,169268630.681802
40,76757,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,Dune Entertainment,2/4/15,2015,161919931.51523,169268630.681802
41,76757,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,Anarchos Productions,2/4/15,2015,161919931.51523,169268630.681802
42,76757,176000003,183987723,Jupiter Ascending,Lana Wachowski|Lilly Wachowski,Warner Bros.,2/4/15,2015,161919931.51523,169268630.681802
43,264660,15000000,36869414,Ex Machina,Alex Garland,DNA Films,1/21/15,2015,13799993.9280026,33919845.9552677
44,264660,15000000,36869414,Ex Machina,Alex Garland,Universal Pictures International (UPI),1/21/15,2015,13799993.9280026,33919845.9552677
45,264660,15000000,36869414,Ex Machina,Alex Garland,Film4,1/21/15,2015,13799993.9280026,33919845.9552677
46,257344,88000000,243637091,Pixels,Chris Columbus,Columbia Pictures,7/16/15,2015,80959964.3776156,224146025.095748
47,257344,88000000,243637091,Pixels,Chris Columbus,Happy Madison Productions,7/16/15,2015,80959964.3776156,224146025.095748
48,99861,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,Marvel Studios,4/22/15,2015,257599886.656049,1292632336.88177
49,99861,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,Prime Focus,4/22/15,2015,257599886.656049,1292632336.88177
50,99861,280000000,1405035767,Avengers: Age of Ultron,Joss Whedon,Revolution Sun Studios,4/22/15,2015,257599886.656049,1292632336.88177
51,273248,44000000,155760117,The Hateful Eight,Quentin Tarantino,Double Feature Films,12/25/15,2015,40479982.1888078,143299244.588332
52,273248,44000000,155760117,The Hateful Eight,Quentin Tarantino,The Weinstein Company,12/25/15,2015,40479982.1888078,143299244.588332
53,273248,44000000,155760117,The Hateful Eight,Quentin Tarantino,FilmColony,12/25/15,2015,40479982.1888078,143299244.588332
54,260346,48000000,325771424,Taken 3,Olivier Megaton,Twentieth Century Fox Film Corporation,1/1/15,2015,44159980.5696085,299709578.207785
55,260346,48000000,325771424,Taken 3,Olivier Megaton,M6 Films,1/1/15,2015,44159980.5696085,299709578.207785
56,260346,48000000,325771424,Taken 3,Olivier Megaton,Canal+,1/1/15,2015,44159980.5696085,299709578.207785
57,260346,48000000,325771424,Taken 3,Olivier Megaton,EuropaCorp,1/1/15,2015,44159980.5696085,299709578.207785
58,260346,48000000,325771424,Taken 3,Olivier Megaton,CinÃ©+,1/1/15,2015,44159980.5696085,299709578.207785
59,102899,130000000,518602163,Ant-Man,Peyton Reed,Marvel Studios,7/14/15,2015,119599947.376023,477113780.029936
60,131634,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Studio Babelsberg,11/18/15,2015,147199935.232028,598481289.508232
61,131634,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,StudioCanal,11/18/15,2015,147199935.232028,598481289.508232
62,131634,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Lionsgate,11/18/15,2015,147199935.232028,598481289.508232
63,131634,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Walt Disney Studios Motion Pictures,11/18/15,2015,147199935.232028,598481289.508232
64,131634,160000000,650523427,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,Color Force,11/18/15,2015,147199935.232028,598481289.508232
65,158852,190000000,209035668,Tomorrowland,Brad Bird,Walt Disney Pictures,5/19/15,2015,174799923.088033,192312729.942398
66,158852,190000000,209035668,Tomorrowland,Brad Bird,Babieka,5/19/15,2015,174799923.088033,192312729.942398
67,158852,190000000,209035668,Tomorrowland,Brad Bird,A113,5/19/15,2015,174799923.088033,192312729.942398
68,254128,110000000,470490832,San Andreas,Brad Peyton,New Line Cinema,5/27/15,2015,101199955.472019,432851374.985395
69,254128,110000000,470490832,San Andreas,Brad Peyton,Village Roadshow Pictures,5/27/15,2015,101199955.472019,432851374.985395
70,254128,110000000,470490832,San Andreas,Brad Peyton,Warner Bros.,5/27/15,2015,101199955.472019,432851374.985395
71,254128,110000000,470490832,San Andreas,Brad Peyton,Flynn Picture Company,5/27/15,2015,101199955.472019,432851374.985395
72,216015,40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,Focus Features,2/11/15,2015,36799983.8080071,524079119.045187
73,216015,40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,Trigger Street Productions,2/11/15,2015,36799983.8080071,524079119.045187
74,216015,40000000,569651467,Fifty Shades of Grey,Sam Taylor-Johnson,Michael De Luca Productions,2/11/15,2015,36799983.8080071,524079119.045187
75,318846,28000000,133346506,The Big Short,Adam McKay,Paramount Pictures,12/11/15,2015,25759988.6656049,122678731.541358
76,318846,28000000,133346506,The Big Short,Adam McKay,Plan B Entertainment,12/11/15,2015,25759988.6656049,122678731.541358
77,318846,28000000,133346506,The Big Short,Adam McKay,Regency Enterprises,12/11/15,2015,25759988.6656049,122678731.541358
78,177677,150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,Paramount Pictures,7/23/15,2015,137999939.280026,627743451.672881
79,177677,150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,Skydance Productions,7/23/15,2015,137999939.280026,627743451.672881
80,177677,150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,China Movie Channel,7/23/15,2015,137999939.280026,627743451.672881
81,177677,150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,Bad Robot,7/23/15,2015,137999939.280026,627743451.672881
82,177677,150000000,682330139,Mission: Impossible - Rogue Nation,Christopher McQuarrie,TC Productions,7/23/15,2015,137999939.280026,627743451.672881
83,207703,81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,Twentieth Century Fox Film Corporation,1/24/15,2015,74519967.2112144,371497801.660967
84,207703,81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,Marv Films,1/24/15,2015,74519967.2112144,371497801.660967
85,207703,81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,TSG Entertainment,1/24/15,2015,74519967.2112144,371497801.660967
86,207703,81000000,403802136,Kingsman: The Secret Service,Matthew Vaughn,Cloudy Productions,1/24/15,2015,74519967.2112144,371497801.660967
87,314365,20000000,88346473,Spotlight,Tom McCarthy,Participant Media,11/6/15,2015,18399991.9040035,81278719.3973634
88,314365,20000000,88346473,Spotlight,Tom McCarthy,Open Road Films,11/6/15,2015,18399991.9040035,81278719.3973634
89,314365,20000000,88346473,Spotlight,Tom McCarthy,Anonymous Content,11/6/15,2015,18399991.9040035,81278719.3973634
90,314365,20000000,88346473,Spotlight,Tom McCarthy,Rocklin / Faust,11/6/15,2015,18399991.9040035,81278719.3973634
91,314365,20000000,88346473,Spotlight,Tom McCarthy,Entertainment One Features,11/6/15,2015,18399991.9040035,81278719.3973634
92,294254,61000000,311256926,Maze Runner: The Scorch Trials,Wes Ball,Gotham Group,9/9/15,2015,56119975.3072108,286356245.923251
93,294254,61000000,311256926,Maze Runner: The Scorch Trials,Wes Ball,Temple Hill Entertainment,9/9/15,2015,56119975.3072108,286356245.923251
94,294254,61000000,311256926,Maze Runner: The Scorch Trials,Wes Ball,TSG Entertainment,9/9/15,2015,56119975.3072108,286356245.923251
95,280996,0,29355203,Mr. Holmes,Bill Condon,BBC Films,6/19/15,2015,0.0,27006774.877019
96,280996,0,29355203,Mr. Holmes,Bill Condon,See-Saw Films,6/19/15,2015,0.0,27006774.877019
97,280996,0,29355203,Mr. Holmes,Bill Condon,FilmNation Entertainment,6/19/15,2015,0.0,27006774.877019
98,280996,0,29355203,Mr. Holmes,Bill Condon,Archer Gray,6/19/15,2015,0.0,27006774.877019
99,280996,0,29355203,Mr. Holmes,Bill Condon,AI-Film,6/19/15,2015,0.0,27006774.877019
100,198184,49000000,102069268,Chappie,Neill Blomkamp,Columbia Pictures,3/4/15,2015,45079980.1648087,93903685.2423785
101,198184,49000000,102069268,Chappie,Neill Blomkamp,Media Rights Capital,3/4/15,2015,45079980.1648087,93903685.2423785
102,198184,49000000,102069268,Chappie,Neill Blomkamp,Sony Pictures Entertainment (SPE),3/4/15,2015,45079980.1648087,93903685.2423785
103,198184,49000000,102069268,Chappie,Neill Blomkamp,Alpha Core,3/4/15,2015,45079980.1648087,93903685.2423785
104,198184,49000000,102069268,Chappie,Neill Blomkamp,Genre Films,3/4/15,2015,45079980.1648087,93903685.2423785
105,257445,58000000,150170815,Goosebumps,Rob Letterman,Columbia Pictures,8/5/15,2015,53359976.5216103,138157089.01088
106,257445,58000000,150170815,Goosebumps,Rob Letterman,Original Film,8/5/15,2015,53359976.5216103,138157089.01088
107,257445,58000000,150170815,Goosebumps,Rob Letterman,Scholastic Entertainment,8/5/15,2015,53359976.5216103,138157089.01088
108,264644,6000000,35401758,Room,Lenny Abrahamson,Element Pictures,10/16/15,2015,5519997.57120106,32569603.0293746
109,264644,6000000,35401758,Room,Lenny Abrahamson,No Trace Camping,10/16/15,2015,5519997.57120106,32569603.0293746
110,264644,6000000,35401758,Room,Lenny Abrahamson,A24,10/16/15,2015,5519997.57120106,32569603.0293746
111,264644,6000000,35401758,Room,Lenny Abrahamson,Duperele Films,10/16/15,2015,5519997.57120106,32569603.0293746
112,105864,175000000,331926147,The Good Dinosaur,Peter Sohn,Walt Disney Pictures,11/14/15,2015,160999929.160031,305371920.876354
113,105864,175000000,331926147,The Good Dinosaur,Peter Sohn,Pixar Animation Studios,11/14/15,2015,160999929.160031,305371920.876354
114,105864,175000000,331926147,The Good Dinosaur,Peter Sohn,Buena Vista,11/14/15,2015,160999929.160031,305371920.876354
115,167073,11000000,62076141,Brooklyn,John Crowley,Wildgaze Films,11/4/15,2015,10119995.5472019,57110024.5915891
116,167073,11000000,62076141,Brooklyn,John Crowley,Irish Film Board,11/4/15,2015,10119995.5472019,57110024.5915891
117,167073,11000000,62076141,Brooklyn,John Crowley,Item 7,11/4/15,2015,10119995.5472019,57110024.5915891
118,167073,11000000,62076141,Brooklyn,John Crowley,Parallel Film Productions,11/4/15,2015,10119995.5472019,57110024.5915891
119,277216,28000000,201634991,Straight Outta Compton,F. Gary Gray,New Line Cinema,8/13/15,2015,25759988.6656049,185504110.098191
120,277216,28000000,201634991,Straight Outta Compton,F. Gary Gray,Universal Pictures,8/13/15,2015,25759988.6656049,185504110.098191
121,277216,28000000,201634991,Straight Outta Compton,F. Gary Gray,Legendary Pictures,8/13/15,2015,25759988.6656049,185504110.098191
122,277216,28000000,201634991,Straight Outta Compton,F. Gary Gray,Cube Vision,8/13/15,2015,25759988.6656049,185504110.098191
123,277216,28000000,201634991,Straight Outta Compton,F. Gary Gray,Broken Chair Flickz,8/13/15,2015,25759988.6656049,185504110.098191
124,274854,90000000,140396650,The Last Witch Hunter,Breck Eisner,Summit Entertainment,10/21/15,2015,82799963.568016,129164861.167461
125,274854,90000000,140396650,The Last Witch Hunter,Breck Eisner,Atmosphere Entertainment MM,10/21/15,2015,82799963.568016,129164861.167461
126,274854,90000000,140396650,The Last Witch Hunter,Breck Eisner,One Race Films,10/21/15,2015,82799963.568016,129164861.167461
127,274854,90000000,140396650,The Last Witch Hunter,Breck Eisner,Goldmann Pictures,10/21/15,2015,82799963.568016,129164861.167461
128,274854,90000000,140396650,The Last Witch Hunter,Breck Eisner,NeoReel,10/21/15,2015,82799963.568016,129164861.167461
129,293863,25000000,42629776,The Age of Adaline,Lee Toland Krieger,Lakeshore Entertainment,4/16/15,2015,22999989.8800044,39219376.6634742
130,293863,25000000,42629776,The Age of Adaline,Lee Toland Krieger,Sidney Kimmel Entertainment,4/16/15,2015,22999989.8800044,39219376.6634742
131,293863,25000000,42629776,The Age of Adaline,Lee Toland Krieger,Sierra/Affinity,4/16/15,2015,22999989.8800044,39219376.6634742
132,325348,10000000,14333790,Hardcore Henry,Ilya Naishuller,Bazelevs Production,9/12/15,2015,9199995.95200178,13187080.9976843
133,325348,10000000,14333790,Hardcore Henry,Ilya Naishuller,Versus Pictures,9/12/15,2015,9199995.95200178,13187080.9976843
134,228161,135000000,368871007,Home,Tim Johnson,Twentieth Century Fox Film Corporation,3/18/15,2015,124199945.352024,339361177.121082
135,228161,135000000,368871007,Home,Tim Johnson,DreamWorks Animation,3/18/15,2015,124199945.352024,339361177.121082
136,254320,4000000,9064511,The Lobster,Yorgos Lanthimos,Haut et Court,10/8/15,2015,3679998.38080071,8339346.45068756
137,254320,4000000,9064511,The Lobster,Yorgos Lanthimos,Eurimages,10/8/15,2015,3679998.38080071,8339346.45068756
138,254320,4000000,9064511,The Lobster,Yorgos Lanthimos,Lemming Film,10/8/15,2015,3679998.38080071,8339346.45068756
139,254320,4000000,9064511,The Lobster,Yorgos Lanthimos,Element Pictures,10/8/15,2015,3679998.38080071,8339346.45068756
140,254320,4000000,9064511,The Lobster,Yorgos Lanthimos,Nederlands Fonds voor de Film,10/8/15,2015,3679998.38080071,8339346.45068756
141,258480,11800000,40272135,Carol,Todd Haynes,Killer Films,11/20/15,2015,10855995.2233621,37050347.8978469
142,258480,11800000,40272135,Carol,Todd Haynes,Film4,11/20/15,2015,10855995.2233621,37050347.8978469
143,258480,11800000,40272135,Carol,Todd Haynes,Number 9 Films,11/20/15,2015,10855995.2233621,37050347.8978469
144,257211,35000000,194564672,The Intern,Nancy Meyers,Waverly Films,9/24/15,2015,32199985.8320062,178999419.480255
145,257211,35000000,194564672,The Intern,Nancy Meyers,Warner Bros.,9/24/15,2015,32199985.8320062,178999419.480255
146,253412,55000000,203427584,Everest,Baltasar KormÃ¡kur,Universal Pictures,9/10/15,2015,50599977.7360098,187153294.93255
147,253412,55000000,203427584,Everest,Baltasar KormÃ¡kur,Working Title Films,9/10/15,2015,50599977.7360098,187153294.93255
148,253412,55000000,203427584,Everest,Baltasar KormÃ¡kur,Walden Media,9/10/15,2015,50599977.7360098,187153294.93255
149,253412,55000000,203427584,Everest,Baltasar KormÃ¡kur,Cross Creek Pictures,9/10/15,2015,50599977.7360098,187153294.93255
150,253412,55000000,203427584,Everest,Baltasar KormÃ¡kur,Free State Pictures,9/10/15,2015,50599977.7360098,187153294.93255
151,257088,105000000,133718711,Point Break,Ericson Core,Studio Babelsberg,12/3/15,2015,96599957.4960187,123021159.990689
152,257088,105000000,133718711,Point Break,Ericson Core,Alcon Entertainment,12/3/15,2015,96599957.4960187,123021159.990689
153,257088,105000000,133718711,Point Break,Ericson Core,DMG Entertainment,12/3/15,2015,96599957.4960187,123021159.990689
154,257088,105000000,133718711,Point Break,Ericson Core,Ehman Productions,12/3/15,2015,96599957.4960187,123021159.990689
155,295964,20000000,36606743,Burnt,John Wells,Double Feature Films,10/2/15,2015,18399991.9040035,33678188.7415969
156,295964,20000000,36606743,Burnt,John Wells,PeaPie Films,10/2/15,2015,18399991.9040035,33678188.7415969
157,295964,20000000,36606743,Burnt,John Wells,3 Arts Entertainment,10/2/15,2015,18399991.9040035,33678188.7415969
158,238615,26000000,30523226,Self/less,Tarsem Singh,Endgame Entertainment,7/10/15,2015,23919989.4752046,28081355.5642035
159,238615,26000000,30523226,Self/less,Tarsem Singh,Ram Bergman Productions,7/10/15,2015,23919989.4752046,28081355.5642035
160,210860,60000000,30418560,Mortdecai,David Koepp,Lionsgate,1/21/15,2015,55199975.7120106,27985062.8865723
161,210860,60000000,30418560,Mortdecai,David Koepp,Mad Chance,1/21/15,2015,55199975.7120106,27985062.8865723
162,210860,60000000,30418560,Mortdecai,David Koepp,OddLot Entertainment,1/21/15,2015,55199975.7120106,27985062.8865723
163,210860,60000000,30418560,Mortdecai,David Koepp,Huayi Brothers Media,1/21/15,2015,55199975.7120106,27985062.8865723
164,201088,70000000,17752940,Blackhat,Michael Mann,Universal Pictures,1/13/15,2015,64399971.6640124,16332697.613613
165,201088,70000000,17752940,Blackhat,Michael Mann,Forward Pass,1/13/15,2015,64399971.6640124,16332697.613613
166,201088,70000000,17752940,Blackhat,Michael Mann,Legendary Pictures,1/13/15,2015,64399971.6640124,16332697.613613
167,166424,120000001,167977596,Fantastic Four,Josh Trank,Twentieth Century Fox Film Corporation,8/5/15,2015,110399952.34402,154539320.322699
168,166424,120000001,167977596,Fantastic Four,Josh Trank,Marv Films,8/5/15,2015,110399952.34402,154539320.322699
169,166424,120000001,167977596,Fantastic Four,Josh Trank,Marvel Entertainment,8/5/15,2015,110399952.34402,154539320.322699
170,166424,120000001,167977596,Fantastic Four,Josh Trank,Constantin Film.,8/5/15,2015,110399952.34402,154539320.322699
171,166424,120000001,167977596,Fantastic Four,Josh Trank,Moving Picture Company (MPC),8/5/15,2015,110399952.34402,154539320.322699
172,310131,3500000,40423945,The Witch,Robert Eggers,Parts and Labor,3/24/15,2015,3219998.58320062,37190013.0363942
173,310131,3500000,40423945,The Witch,Robert Eggers,RT Features,3/24/15,2015,3219998.58320062,37190013.0363942
174,310131,3500000,40423945,The Witch,Robert Eggers,Rooks Nest Entertainment,3/24/15,2015,3219998.58320062,37190013.0363942
175,310131,3500000,40423945,The Witch,Robert Eggers,Maiden Voyage Pictures,3/24/15,2015,3219998.58320062,37190013.0363942
176,310131,3500000,40423945,The Witch,Robert Eggers,Pulse Films,3/24/15,2015,3219998.58320062,37190013.0363942
177,238713,65000000,235666219,Spy,Paul Feig,Twentieth Century Fox Film Corporation,5/6/15,2015,59799973.6880115,216812826.082356
178,238713,65000000,235666219,Spy,Paul Feig,Chernin Entertainment,5/6/15,2015,59799973.6880115,216812826.082356
179,238713,65000000,235666219,Spy,Paul Feig,Feigco Entertainment,5/6/15,2015,59799973.6880115,216812826.082356
180,256591,50100000,153962963,Focus,Glenn Ficarra|John Requa,Kramer & Sigman Films,2/25/15,2015,46091979.7195289,141645863.63582
181,256591,50100000,153962963,Focus,Glenn Ficarra|John Requa,RatPac-Dune Entertainment,2/25/15,2015,46091979.7195289,141645863.63582
182,256591,50100000,153962963,Focus,Glenn Ficarra|John Requa,Zaftig Films,2/25/15,2015,46091979.7195289,141645863.63582
183,249070,35000000,82347656,Hitman: Agent 47,Aleksander Bach,Twentieth Century Fox Film Corporation,8/20/15,2015,32199985.8320062,75759810.1856835
184,249070,35000000,82347656,Hitman: Agent 47,Aleksander Bach,Fox International Productions,8/20/15,2015,32199985.8320062,75759810.1856835
185,249070,35000000,82347656,Hitman: Agent 47,Aleksander Bach,Infinite Frameworks Studios,8/20/15,2015,32199985.8320062,75759810.1856835
186,249070,35000000,82347656,Hitman: Agent 47,Aleksander Bach,TSG Entertainment,8/20/15,2015,32199985.8320062,75759810.1856835
187,205775,100000000,93820758,In the Heart of the Sea,Ron Howard,Imagine Entertainment,11/20/15,2015,91999959.5200178,86315059.3813738
188,205775,100000000,93820758,In the Heart of the Sea,Ron Howard,Spring Creek Productions,11/20/15,2015,91999959.5200178,86315059.3813738
189,205775,100000000,93820758,In the Heart of the Sea,Ron Howard,Warner Bros.,11/20/15,2015,91999959.5200178,86315059.3813738
190,205775,100000000,93820758,In the Heart of the Sea,Ron Howard,Roth Films,11/20/15,2015,91999959.5200178,86315059.3813738
191,205775,100000000,93820758,In the Heart of the Sea,Ron Howard,K. JAM Media,11/20/15,2015,91999959.5200178,86315059.3813738
192,334074,20000000,0,Survivor,James McTeigue,Nu Image Films,5/21/15,2015,18399991.9040035,0.0
193,334074,20000000,0,Survivor,James McTeigue,Winkler Films,5/21/15,2015,18399991.9040035,0.0
194,334074,20000000,0,Survivor,James McTeigue,Millennium Films,5/21/15,2015,18399991.9040035,0.0
195,334074,20000000,0,Survivor,James McTeigue,Survivor Productions,5/21/15,2015,18399991.9040035,0.0
196,312221,35000000,137935567,Creed,Ryan Coogler,New Line Cinema,11/25/15,2015,32199985.8320062,126900665.803707
197,312221,35000000,137935567,Creed,Ryan Coogler,Warner Bros.,11/25/15,2015,32199985.8320062,126900665.803707
198,312221,35000000,137935567,Creed,Ryan Coogler,Metro-Goldwyn-Mayer (MGM),11/25/15,2015,32199985.8320062,126900665.803707
199,312221,35000000,137935567,Creed,Ryan Coogler,Chartoff-Winkler Productions,11/25/15,2015,32199985.8320062,126900665.803707
200,276907,25000000,42972994,Legend,Brian Helgeland,Working Title Films,9/9/15,2015,22999989.8800044,39535137.0845396
201,276907,25000000,42972994,Legend,Brian Helgeland,Cross Creek Pictures,9/9/15,2015,22999989.8800044,39535137.0845396
202,276907,25000000,42972994,Legend,Brian Helgeland,Anton Capital Entertainment (ACE),9/9/15,2015,22999989.8800044,39535137.0845396
203,308369,0,0,Me and Earl and the Dying Girl,Alfonso Gomez-Rejon,Indian Paintbrush,6/12/15,2015,0.0,0.0
204,227973,99000000,246233113,The Peanuts Movie,Steve Martino,Blue Sky Studios,11/5/15,2015,91079959.9248176,226534364.284879
205,227973,99000000,246233113,The Peanuts Movie,Steve Martino,Twentieth Century Fox Animation,11/5/15,2015,91079959.9248176,226534364.284879
206,227973,99000000,246233113,The Peanuts Movie,Steve Martino,Feigco Entertainment,11/5/15,2015,91079959.9248176,226534364.284879
207,321741,35000000,48623572,Concussion,Peter Landesman,Village Roadshow Pictures,11/12/15,2015,32199985.8320062,44733666.5571867
208,321741,35000000,48623572,Concussion,Peter Landesman,Scott Free Productions,11/12/15,2015,32199985.8320062,44733666.5571867
209,321741,35000000,48623572,Concussion,Peter Landesman,LStar Capital,11/12/15,2015,32199985.8320062,44733666.5571867
210,321741,35000000,48623572,Concussion,Peter Landesman,The Cantillon Company,11/12/15,2015,32199985.8320062,44733666.5571867
211,321741,35000000,48623572,Concussion,Peter Landesman,The Shuman Company,11/12/15,2015,32199985.8320062,44733666.5571867
212,296100,25000000,52395996,The Night Before,Jonathan Levine,Sony Pictures,11/20/15,2015,22999989.8800044,48204295.1101101
213,296100,25000000,52395996,The Night Before,Jonathan Levine,Point Grey Pictures,11/20/15,2015,22999989.8800044,48204295.1101101
214,296100,25000000,52395996,The Night Before,Jonathan Levine,Good Universe,11/20/15,2015,22999989.8800044,48204295.1101101
215,263472,2500000,5214043,Knock Knock,Eli Roth,Universum Film (UFA),6/26/15,2015,2299998.98800044,4796917.44935632
216,263472,2500000,5214043,Knock Knock,Eli Roth,Dragonfly Entertainment,6/26/15,2015,2299998.98800044,4796917.44935632
217,263472,2500000,5214043,Knock Knock,Eli Roth,Black Bear Pictures,6/26/15,2015,2299998.98800044,4796917.44935632
218,263472,2500000,5214043,Knock Knock,Eli Roth,Square One Entertainment,6/26/15,2015,2299998.98800044,4796917.44935632
219,263472,2500000,5214043,Knock Knock,Eli Roth,Sobras International Pictures,6/26/15,2015,2299998.98800044,4796917.44935632
220,333348,17000000,24000000,Love the Coopers,Jessie Nelson,Imagine Entertainment,11/12/15,2015,15639993.118403,22079990.2848042
